country,year,happinessrank,happinessscore,gdp,family,lifeexpectancy,freedom,trust,generosity
Afghanistan,2017,141,3.794,0.40148,0.58154,0.18075,0.10618,0.06116,0.31187
Botswana,2017,142,3.766,1.12209,1.22155,0.34176,0.50520,0.09858,0.09935
Benin,2017,143,3.657,0.43109,0.43530,0.20993,0.42596,0.06093,0.20795
Madagascar,2017,144,3.644,0.30581,0.91302,0.37522,0.18920,0.06723,0.20873
Haiti,2017,145,3.603,0.36861,0.64045,0.27732,0.03037,0.09987,0.48920
Yemen,2017,146,3.593,0.59168,0.93538,0.31008,0.24946,0.05677,0.10413
South Sudan,2017,147,3.591,0.39725,0.60132,0.16349,0.14706,0.11679,0.28567
Liberia,2017,148,3.533,0.11904,0.87212,0.22992,0.33288,0.03895,0.26655
Guinea,2017,149,3.507,0.24455,0.79124,0.19413,0.34859,0.11094,0.26482
Togo,2017,150,3.495,0.30544,0.43188,0.24711,0.38043,0.09567,0.19690
Rwanda,2017,151,3.471,0.36875,0.94571,0.32642,0.58184,0.45522,0.25276
Syria,2017,152,3.462,0.77715,0.39610,0.50053,0.08154,0.15135,0.49366
Tanzania,2017,153,3.349,0.51114,1.04199,0.36451,0.39002,0.06604,0.35426
Burundi,2017,154,2.905,0.09162,0.62979,0.15161,0.05990,0.08415,0.20444
Central African Republic,2017,155,2.693,0.00000,0.00000,0.01877,0.27084,0.05657,0.28088
Finland,2018,1,7.632,1.30500,1.59200,0.87400,0.68100,0.39300,0.20200
Norway,2018,2,7.594,1.45600,1.58200,0.86100,0.68600,0.34000,0.28600
Denmark,2018,3,7.555,1.35100,1.59000,0.86800,0.68300,0.40800,0.28400
Iceland,2018,4,7.495,1.34300,1.64400,0.91400,0.67700,0.13800,0.35300
Switzerland,2018,5,7.487,1.42000,1.54900,0.92700,0.66000,0.35700,0.25600
Netherlands,2018,6,7.441,1.36100,1.48800,0.87800,0.63800,0.29500,0.33300
Canada,2018,7,7.328,1.33000,1.53200,0.89600,0.65300,0.29100,0.32100
New Zealand,2018,8,7.324,1.26800,1.60100,0.87600,0.66900,0.38900,0.36500
Sweden,2018,9,7.314,1.35500,1.50100,0.91300,0.65900,0.38300,0.28500
Australia,2018,10,7.272,1.34000,1.57300,0.91000,0.64700,0.30200,0.36100
United Kingdom,2018,11,7.190,1.24400,1.43300,0.88800,0.46400,0.08200,0.26200
Austria,2018,12,7.139,1.34100,1.50400,0.89100,0.61700,0.22400,0.24200
Costa Rica,2018,13,7.072,1.01000,1.45900,0.81700,0.63200,0.10100,0.14300
Ireland,2018,14,6.977,1.44800,1.58300,0.87600,0.61400,0.30600,0.30700
Germany,2018,15,6.965,1.34000,1.47400,0.86100,0.58600,0.28000,0.27300
Belgium,2018,16,6.927,1.32400,1.48300,0.89400,0.58300,0.24000,0.18800
Luxembourg,2018,17,6.910,1.57600,1.52000,0.89600,0.63200,0.32100,0.19600
United States,2018,18,6.886,1.39800,1.47100,0.81900,0.54700,0.13300,0.29100
Israel,2018,19,6.814,1.30100,1.55900,0.88300,0.53300,0.27200,0.35400
Czech Republic,2018,21,6.711,1.23300,1.48900,0.85400,0.54300,0.03400,0.06400
Malta,2018,22,6.627,1.27000,1.52500,0.88400,0.64500,0.14200,0.37600
France,2018,23,6.489,1.29300,1.46600,0.90800,0.52000,0.17600,0.09800
Mexico,2018,24,6.488,1.03800,1.25200,0.76100,0.47900,0.09500,0.06900
Chile,2018,25,6.476,1.13100,1.33100,0.80800,0.43100,0.06100,0.19700
Taiwan,2018,26,6.441,1.36500,1.43600,0.85700,0.41800,0.07800,0.15100
Panama,2018,27,6.430,1.11200,1.43800,0.75900,0.59700,0.06300,0.12500
Brazil,2018,28,6.419,0.98600,1.47400,0.67500,0.49300,0.08800,0.11000
Argentina,2018,29,6.388,1.07300,1.46800,0.74400,0.57000,0.05400,0.06200
Guatemala,2018,30,6.382,0.78100,1.26800,0.60800,0.60400,0.07100,0.17900
Uruguay,2018,31,6.379,1.09300,1.45900,0.77100,0.62500,0.15500,0.13000
Qatar,2018,32,6.374,1.64900,1.30300,0.74800,0.65400,0.17100,0.25600
Saudi Arabia,2018,33,6.371,1.37900,1.33100,0.63300,0.50900,0.12700,0.09800
Singapore,2018,34,6.343,1.52900,1.45100,1.00800,0.63100,0.45700,0.26100
Malaysia,2018,35,6.322,1.16100,1.25800,0.66900,0.35600,0.05900,0.31100
Spain,2018,36,6.310,1.25100,1.53800,0.96500,0.44900,0.07400,0.14200
Colombia,2018,37,6.260,0.96000,1.43900,0.63500,0.53100,0.03900,0.09900
